% Manual layer counts for NEEM-2011-S1

% Depth (m)	 Age (AD)	 Uncertainty per layer (yrs)	 Accumulated uncertainty (yrs)
202.074  	 964 	 0.0 	 0.0
202.212  	 963 	 0.0 	 0.0
202.379  	 962 	 0.0 	 0.0
202.562  	 961 	 0.0 	 0.0
202.780  	 960 	 0.0 	 0.0
202.993  	 959 	 0.0 	 0.0
203.164  	 958 	 0.0 	 0.0
203.359  	 957 	 0.0 	 0.0
203.535  	 956 	 0.0 	 0.0
203.699  	 955 	 0.0 	 0.0
203.892  	 954 	 0.0 	 0.0
204.124  	 953 	 0.0 	 0.0
204.307  	 952 	 0.0 	 0.0
204.472  	 951 	 0.0 	 0.0
204.655  	 950 	 0.0 	 0.0
204.814  	 949 	 0.0 	 0.0
204.995  	 948 	 0.0 	 0.0
205.157  	 947 	 0.0 	 0.0
205.333  	 946 	 0.0 	 0.0
205.512  	 945 	 0.0 	 0.0
205.664  	 944 	 0.0 	 0.0
205.873  	 943 	 0.0 	 0.0
206.004  	 942 	 0.0 	 0.0
206.190  	 941 	 0.0 	 0.0
206.411  	 940 	 0.0 	 0.0
206.601  	 939 	 0.0 	 0.0
206.810  	 938 	 0.0 	 0.0
207.062  	 937 	 0.0 	 0.0
207.258  	 936 	 0.0 	 0.0
207.420  	 935 	 0.0 	 0.0
207.641  	 934 	 0.0 	 0.0
207.775  	 933 	 0.0 	 0.0
207.946  	 932 	 0.0 	 0.0
208.141  	 931 	 0.0 	 0.0
208.359  	 930 	 0.0 	 0.0
208.547  	 929 	 0.0 	 0.0
208.699  	 928 	 0.0 	 0.0
208.866  	 927 	 0.0 	 0.0
209.014  	 926 	 0.0 	 0.0
209.188  	 925 	 0.0 	 0.0
